,BBLE,BLOCK,LOT,EASEMENT,OWNER,BLDGCL,TAXCLASS,LTFRONT,LTDEPTH,STORIES,FULLVAL,AVLAND,AVTOT,EXLAND,EXTOT,EXCD1,STADDR,ZIP,EXMPTCL,BLDFRONT,BLDDEPTH,AVLAND2,AVTOT2,EXLAND2,EXTOT2,EXCD2,PERIOD,YEAR,VALTYPE,manhattan_score,euclidean_score,autoencoder_score,weighted_score
548611,4161030070G,16103,70,G,CITY OF NEW YORK,U1,3,0,0,,0,0,0,0,0,,ROCKAWAY FREEWAY,11693.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
550245,1007010045E,701,45,E,CONRAIL,U6,3,0,0,,0,0,0,0,0,,WEST 30 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
551740,1012780020E,1278,20,E,PENN CENTRAL RAILROAD,U6,3,0,0,,0,0,0,0,0,,MADISON AVENUE,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
552538,4158570075F,15857,75,F,CITY OF NEW YORK,U1,3,0,0,,0,0,0,0,0,,ROCKAWAY BEACH BLVD,,X1,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
553673,1007040005G,704,5,G,,U6,3,0,0,,0,0,0,0,0,,WEST 32 STREET,10001.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
555945,1006970027E,697,27,E,N Y C R R CO,U6,3,0,0,,0,0,0,0,0,,WEST 25 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
559023,2024930001,2493,1,,,Q6,4,798,611,6.0,1663775000,78750000,748698750,78750000,748698750,2500.0,1 EAST 161 STREET,10451.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
559853,1007040006E,704,6,E,,U6,3,0,0,,0,0,0,0,0,,WEST 32 STREET,10001.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
562674,4000360001F,36,1,F,CNY/NYCTA,U7,3,0,0,,0,0,0,0,0,,54 AVENUE,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
571710,1012820034E,1282,34,E,PENN CENTRAL RAILROAD,U6,3,0,0,,0,0,0,0,0,,PARK AVENUE,10017.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
572394,1012651063,1265,1063,,RCPI LANDMARK PROPERT,R5,4,0,0,70.0,8505747,927896,3827586,0,0,,30 ROCKEFELLER PLAZA,10020.0,,0,0,927896.0,3331832.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
573535,1022150042E,2215,42,E,,U9,3,0,0,,0,0,0,0,0,,150 TEUNISSEN PLACE,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
574554,2055170132,5517,132,,EDGEWATER PK OWNERS C,A8,1D,70,178,1.0,1400000,30271,60284,15890,15890,1010.0,1 ALDEN PARK,10465.0,,17,41,,,,,1015.0,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
578241,1014800010,1480,10,,ROCKEFELLER UNIVERSIT,I1,4,999,539,6.0,268678000,63800100,120905100,63800100,120905100,1401.0,1230 YORK AVENUE,10065.0,X8,180,100,59470020.0,107305020.0,59470020.0,107305020.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
581492,1000161301,16,1301,,,R5,4,0,0,14.0,99580000,5363820,44811000,5363820,44811000,6800.0,102 NORTH END AVENUE,10282.0,,0,0,5363820.0,43583200.0,5363820.0,43583200.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
581958,1010170029,1017,29,,TIMES SQUARE HMC HOTE,H2,4,207,433,58.0,442888888,86850000,199300000,86850000,199300000,3410.0,1531 BROADWAY,10036.0,,80,148,72270000.0,212253002.0,72270000.0,212253002.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
582892,1008690034,869,34,,"NINETY PARK PROPERTY,",O3,4,197,205,41.0,242000000,43920000,108900000,0,0,,90 PARK AVENUE,10016.0,,196,205,43920000.0,102130000.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
583358,1012880027,1288,27,,PARK AVENUE PLAZA OWN,O4,4,55,100,40.0,320000000,38070000,144000000,0,0,,57 EAST 52 STREET,10022.0,,55,100,38070000.0,134370000.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
585998,4000650004H,65,4,H,CITY OF NEW YORK,U7,3,0,0,,0,0,0,0,0,,BORDEN AVENUE,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
