,BBLE,BLOCK,LOT,EASEMENT,OWNER,BLDGCL,TAXCLASS,LTFRONT,LTDEPTH,STORIES,FULLVAL,AVLAND,AVTOT,EXLAND,EXTOT,EXCD1,STADDR,ZIP,EXMPTCL,BLDFRONT,BLDDEPTH,AVLAND2,AVTOT2,EXLAND2,EXTOT2,EXCD2,PERIOD,YEAR,VALTYPE,manhattan_score,euclidean_score,autoencoder_score,weighted_score
712119,4160890012F,16089,12,F,CITY OF NEW YORK,U7,3,50,9,,0,0,0,0,0,,BEACH 74 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
712629,1007100011E,710,11,E,,U6,3,0,0,,0,0,0,0,0,,WEST 38 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
712883,2032260100,3226,100,,BRONX V A MEDICAL CEN,I1,4,587,994,2.0,468100000,9945000,210645000,9945000,210645000,4550.0,110 WEST KINGSBRIDGE RD,10468.0,X3,117,0,9459000.0,209629266.0,9459000.0,209629266.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
713071,1012651067,1265,1067,,RCPI LANDMARK PROPERT,R5,4,0,0,70.0,8919817,973067,4013918,0,0,,30 ROCKEFELLER PLAZA,10020.0,,0,0,973067.0,3494028.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
715180,2056500001,5650,1,,PARKS AND RECREATION,Q1,4,600,4000,6.0,190000000,79200000,85500000,79200000,85500000,2231.0,PELHAM BAY PARK,10462.0,X1,0,0,77130000.0,83430000.0,77130000.0,83430000.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
715761,1009390028E,939,28,E,NATIONAL PASS RR CORP,U6,3,0,0,,0,0,0,0,0,,EAST 33 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
716287,1006440010E,644,10,E,NEW YORK CENTRAL LINE,U6,3,0,0,,0,0,0,0,0,,WASHINGTON STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
716842,1012651050,1265,1050,,NBC TRUST NO. 1996A,R5,4,0,0,70.0,9227331,1006612,4152299,1006612,4152299,2500.0,30 ROCKEFELLER PLAZA,10020.0,,0,0,1006612.0,3614489.0,1006612.0,3614489.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
717327,2051410120,5141,120,,RIVERBAY CORPORATION,D4,2,657,900,33.0,307000000,25290000,138150000,25290000,138150000,5109.0,2049 BARTOW AVENUE,10475.0,X8,101,408,25290000.0,144990000.0,25290000.0,144990000.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
720621,2055170140,5517,140,,EDGEWATER PARK OWNRSE,A8,1D,100,170,2.0,2190000,48071,87004,22934,22934,1010.0,28 ALDEN PARK,10465.0,,24,34,,,,,1015.0,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
721428,1006370053E,637,53,E,N Y CENTRAL R R,U6,3,0,0,,0,0,0,0,0,,,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
725555,3084700055,8470,55,,YILDIZ HOLDING A.S.,K6,4,930,650,2.0,258000000,40590000,116100000,0,13326371,1985.0,5120 AVENUE U,11234.0,,0,0,40590000.0,118079991.0,,13326371.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
727144,1000580001,58,1,,THE PORT AUTHORITY OF,O4,4,950,750,,650000000,221850000,292500000,221850000,292500000,6120.0,1 WORLD TRADE CENTER,10007.0,,0,0,219312000.0,289962000.0,219312000.0,289962000.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
727580,1007090017F,709,17,F,,U6,3,0,0,,0,0,0,0,0,,WEST 37 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
727835,1011710001E,1171,1,E,CITY OF NEW YORK,U1,3,0,0,,0,0,0,0,0,,WEST 79 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
728268,1000160003,16,3,,THE CITY OF NEW YORK,Z9,4,2290,873,27.0,259204000,115650000,116641800,115650000,116641800,2191.0,JOE DIMAGGIO HIGHWAY,,X1,30,100,106883843.0,107827403.0,106883843.0,107827403.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
731622,4158910030F,15891,30,F,CITY OF NEW YORK,U1,3,0,0,,0,0,0,0,0,,ROCKAWAY BEACH BLVD,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
732277,3002500001,250,1,,26 COURT ASSOCIATES L,O3,4,100,137,29.0,36500000,7335000,16425000,0,990000,1985.0,26 COURT STREET,11242.0,,92,137,7638300.0,14760000.0,,990000.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
732454,5020400001,2040,1,,THE DORMITORY AUTHORI,W5,4,3825,3095,2.0,378000000,50850000,170100000,50850000,170100000,2400.0,2800 VICTORY BOULEVARD,10314.0,X2,110,240,48825945.0,168075945.0,48825945.0,168075945.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
732882,1012651040,1265,1040,,RCPI LANDMARK PROPERT,R5,4,0,0,70.0,9578182,1044886,4310182,0,0,,30 ROCKEFELLER PLAZA,10020.0,,0,0,1044886.0,3751922.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
736371,1012650050,1265,50,,RCPI LANDMARK PROPERT,O1,4,200,315,6.0,158000000,45000000,71100000,0,0,,610 5 AVENUE,10020.0,,71,201,45000000.0,68490000.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
737477,1009390025E,939,25,E,NATIONAL PASS RR CORP,U6,3,0,0,,0,0,0,0,0,,EAST 33 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
738409,1000167512,16,7512,,,R0,2,259,269,14.0,0,0,0,0,0,,102 NORTH END AVENUE,10282.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
739784,1018970001E,1897,1,E,,Q1,4,0,0,,220000,99000,99000,0,0,,345A RIVERSIDE DRIVE,10025.0,,0,0,95400.0,95400.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
741855,1009700001G,970,1,G,CNY/TBTA,U1,3,0,0,,0,0,0,0,0,,1 AVENUE,10016.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
751206,1007830070,783,70,,ELI ACQUISITION LLC,O4,4,648,198,55.0,581000000,51750000,261450000,0,0,,206 WEST 34 STREET,10001.0,,647,197,44064000.0,260880000.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
751798,1012651094,1265,1094,,NBC TRUST NO. 1996A,R5,4,0,0,70.0,2742554,299187,1234149,299187,1234149,2500.0,30 ROCKEFELLER PLAZA,10020.0,,0,0,299187.0,1074298.0,299187.0,1074298.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
751970,4158450044F,15845,44,F,CITY OF NEW YORK,U1,3,0,0,,0,0,0,0,0,,ROCKAWAY BEACH BLVD,,X1,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
752520,1012800001E,1280,1,E,PENN CENTRAL RAILROAD,U6,3,0,0,,0,0,0,0,0,,EAST 42 STREET,10017.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
752901,1021700163F,2170,163,F,CNY/NYCTA,U7,3,274,634,,0,0,0,0,0,,HILLSIDE AVENUE,10040.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
754746,4020180001,2018,1,,DEPT OF GENERAL SERVI,Q1,4,2213,438,,432000000,108450000,194400000,108450000,194400000,2231.0,HORACE HARDING EXPWY,,X1,0,0,99990000.0,185309999.0,99990000.0,185309999.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
755173,1006030046E,603,46,E,,U7,3,0,0,,0,0,0,0,0,,GREENWICH STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
758509,1020040065E,2004,65,E,CITY OF NEW YORK,U8,3,107,201,,0,0,0,0,0,,,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
760322,1012651048,1265,1048,,RCPI LANDMARK PROPERT,R5,4,0,0,70.0,9476818,1033831,4264568,0,0,,30 ROCKEFELLER PLAZA,10020.0,,0,0,1033831.0,3712216.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
760884,1009390009E,939,9,E,NATIONAL PASS RR CORP,U6,3,0,0,,0,0,0,0,0,,EAST 33 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
761635,1010720024E,1072,24,E,CONSOLIDATED RAIL CO,U6,3,0,0,,0,0,0,0,0,,WEST 43 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
763090,1009390023E,939,23,E,NATIONAL PASS RR CORP,U6,3,0,0,,0,0,0,0,0,,EAST 33 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
764714,1013000001F,1300,1,F,CITY OF NEW YORK,U1,3,0,0,,0,0,0,0,0,,EAST 45 STREET,10017.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
766239,1006890017E,689,17,E,CONRAIL CORP,U6,3,0,0,,0,0,0,0,0,,11 AVENUE,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
766976,1009960029,996,29,,DOLP 1133 PROPERTIES,O4,4,200,243,44.0,253000000,60300000,113850000,0,0,,1133 AVENUE OF THE AMER,10036.0,,201,243,60300000.0,108428880.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
767842,1012651034,1265,1034,,RCPI LANDMARK PROPERT,R5,4,0,0,70.0,9936802,1084009,4471561,0,0,,30 ROCKEFELLER PLAZA,10020.0,,0,0,1084009.0,3892396.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
771859,4158530060F,15853,60,F,CITY OF NEW YORK,U1,3,0,0,,0,0,0,0,0,,EDGEMERE AVENUE,,X1,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
772081,1006460001E,646,1,E,,U6,3,0,0,,0,0,0,0,0,,10 AVENUE,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
777406,1021690003E,2169,3,E,N Y C --TUNNEL,U7,3,20,102,,0,0,0,0,0,,WADSWORTH AVENUE,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
780064,1007100015E,710,15,E,CONRAIL,U6,3,0,0,,0,0,0,0,0,,WEST 38 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
780861,1012540010E,1254,10,E,RIVERSIDE PARK,U6,3,0,0,,0,0,0,0,0,,RIVERSIDE PARK,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
782536,4158550090H,15855,90,H,CITY OF NEW YORK,U1,3,0,0,,0,0,0,0,0,,EDGEMERE AVENUE,,X1,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
783002,1007000027E,700,27,E,CONRAIL,U6,3,0,0,,0,0,0,0,0,,WEST 28 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
784670,4000650004G,65,4,G,CITY OF NEW YORK,U7,3,0,0,,0,0,0,0,0,,BORDEN AVENUE,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
787141,1012651010,1265,1010,,NBC TRUST NO. 1996A,R5,4,0,0,70.0,10979791,1197788,4940906,1197788,4940906,2500.0,30 ROCKEFELLER PLAZA,10020.0,,0,0,1197788.0,4300953.0,1197788.0,4300953.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
789623,1007040006F,704,6,F,,U6,3,0,0,,0,0,0,0,0,,WEST 32 STREET,10001.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
790639,1010830015E,1083,15,E,CONSOLIDATED RAIL CO,U6,3,0,0,,0,0,0,0,0,,11 AVENUE,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
794395,1009390027E,939,27,E,NATIONAL PASS RR CORP,U6,3,0,0,,0,0,0,0,0,,EAST 33 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
795729,1013000014,1300,14,,BROADWAY PARK REIT,O3,4,200,275,21.0,389000000,30825000,175050000,0,0,,460 LEXINGTON AVENUE,10017.0,,200,275,31662000.0,147818000.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
797406,1012800030,1280,30,,HYATT EQUITIES,H1,4,275,208,26.0,309000000,42480000,139050000,42480000,139050000,3410.0,109 EAST 42 STREET,10017.0,X2,275,208,33246000.0,129079000.0,33246000.0,129079000.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
802793,1012651077,1265,1077,,RCPI LANDMARK PROPERT,R5,4,0,0,70.0,1822626,198827,820182,0,0,,30 ROCKEFELLER PLAZA,10020.0,,0,0,198827.0,713945.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
805457,1010040020,1004,20,,"787 HOLDINGS, LLC",O4,4,200,400,51.0,536000000,123750000,241200000,0,0,,787 7 AVENUE,10019.0,,201,400,123750000.0,217750160.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
805688,1017750003F,1775,3,F,,V9,4,60,115,,9010,4055,4055,4055,4055,2201.0,,,,0,0,2640.0,2640.0,2640.0,2640.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
805792,4000390194F,39,194,F,LIRR,U2,3,0,0,,0,0,0,0,0,,BORDEN AVENUE,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
806131,1006460020E,646,20,E,,U6,3,0,0,,0,0,0,0,0,,WEST 13 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
807960,1009940001,994,1,,TIMES SQUARE TOWER AS,O3,4,205,141,48.0,414000000,22500000,186300000,22500000,186300000,3410.0,1451 BROADWAY,10036.0,,205,141,22500000.0,166410000.0,22500000.0,166410000.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
808266,2055160161,5516,161,,EDGEWATER PK OWNERS C,A8,1D,211,483,1.0,15015000,325602,607318,160087,160087,1010.0,64B EDGEWATER PARK,10465.0,,16,42,,,,,1015.0,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
810112,1012820021E,1282,21,E,PENN CENTRAL RAILROAD,U6,3,0,0,,0,0,0,0,0,,MADISON AVENUE,10017.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
810906,1012651025,1265,1025,,NBC TRUST NO. 1996A,R5,4,0,0,70.0,9461214,1032128,4257546,1032128,4257546,2500.0,30 ROCKEFELLER PLAZA,10020.0,,0,0,1032128.0,3706102.0,1032128.0,3706102.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
813967,1012570002,1257,2,,PARKS AND RECREATION,P8,4,455,438,2.0,243844000,106200000,109729800,106200000,109729800,2231.0,1060 AVENUE OF THE AMER,10018.0,X1,390,265,99117000.0,102268260.0,99117000.0,102268260.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
814430,1010061301,1006,1301,,BH HOTELS LLC,R5,4,0,0,46.0,397111111,85585500,178700000,0,0,,1335 AVENUE OF THE AMER,10019.0,,0,0,85585500.0,187645000.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
815071,4163500081,16350,81,,DEPT RE-CITY OF NY,P6,4,545,854,1.0,34900000,14175000,15705000,14175000,15705000,4600.0,328 ROCKAWAY POINT BLVD,11697.0,X3,100,120,13599000.0,15075000.0,13599000.0,15075000.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
818843,1013010001,1301,1,,BROOKFIELD FINANCIAL,O4,4,200,405,45.0,644000000,50400000,289800000,0,22500000,1985.0,245 PARK AVENUE,10017.0,,168,358,51750000.0,288279997.0,,22500000.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
819210,1021690060E,2169,60,E,F & F HOLDING CO,U9,3,0,0,,0,0,0,0,0,,,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
820200,1006930023F,693,23,F,,U6,3,0,0,,0,0,0,0,0,,WEST 21 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
820435,1007010052E,701,52,E,CONRAIL,U6,3,0,0,,0,0,0,0,0,,WEST 30 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
821210,1010050029,1005,29,,1301 PROPERTIES OWNER,O4,4,200,375,46.0,660000000,142650000,297000000,0,0,,1301 AVENUE OF THE AMER,10019.0,,159,345,144090000.0,277939998.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
821855,4001830001G,183,1,G,LIRR,U6,3,0,0,,0,0,0,0,0,,NORTHERN BOULEVARD,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
822461,1018190203E,1819,203,E,CITY OF NEW YORK,U6,3,151,151,,0,0,0,0,0,,RANDALLS ISLAND,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
823708,1012651003,1265,1003,,RCPI LANDMARK PROPERT,R5,4,0,0,70.0,12095393,1162349,5442927,0,1494495,1985.0,30 ROCKEFELLER PLAZA,10020.0,,0,0,1162349.0,4801779.0,,1494495.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
824608,1010690043E,1069,43,E,CONSOLIDATED RAIL CO,U6,3,0,0,,0,0,0,0,0,,WEST 41 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
826998,4159450001F,15945,1,F,CITY OF NEW YORK,U9,3,50,229,,0,0,0,0,0,,SEAGIRT BOULEVARD,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
827277,1012640038,1264,38,,"604 FIFTH OWNER, LLC",K9,4,30,100,6.0,4920000,1350000,2214000,0,0,,604 5 AVENUE,10020.0,,30,100,1350000.0,2673000.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
827824,1007390001E,739,1,E,,U9,3,800,206,,0,0,0,0,0,,,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
828889,2055160215,5516,215,,EDGEWATER PARK OWNRSE,A8,1D,187,442,1.0,9390000,202982,381201,100485,100485,1010.0,16B EDGEWATER PARK,10465.0,,13,34,,,,,1015.0,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
830419,2055150001,5515,1,,EDGEWATER PARK OWNRSE,A8,1D,200,588,1.0,10055000,213354,416559,109806,109806,1010.0,178D EDGEWATER PARK,10465.0,,18,41,,,,,1015.0,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
837496,2054960001,5496,1,,EDGEWATER PARK OWNER,A8,1D,200,597,1.0,1950000,43495,79267,20894,20894,1010.0,26E EDGEWATER PARK,10465.0,,24,38,,,,,1015.0,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
838371,1006760003E,676,3,E,NYC H R RR CO,U6,3,712,800,,0,0,0,0,0,,12 AVENUE,10001.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
839353,1010491004,1049,1004,,AOL TIME WARNER REALT,R5,4,0,0,55.0,436000000,36616950,196200000,0,0,,10 COLUMBUS CIRCLE,10019.0,,0,0,36616950.0,155349812.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
842100,4158570075G,15857,75,G,CITY OF NEW YORK,U1,3,0,0,,0,0,0,0,0,,ROCKAWAY BEACH BLVD,,X1,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
842369,1012830021E,1283,21,E,PENN CENTRAL RAILROAD,U6,3,0,0,,0,0,0,0,0,,PARK AVENUE,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
842618,3085910075,8591,75,,U S GOVT NAVY,Y4,4,441,524,,352000000,145350000,158400000,145350000,158400000,4500.0,FLATBUSH AVENUE,,X3,0,0,142020000.0,155070000.0,142020000.0,155070000.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
843081,1000163779,16,3779,,"MITRA, JOYDEV",R4,2,0,0,31.0,325277,16497,146375,16497,146375,6800.0,2 RIVER TERRACE,10282.0,,0,0,6030.0,148360.0,6030.0,148360.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
843157,1006050008E,605,8,E,,U7,3,0,0,,0,0,0,0,0,,GREENWICH STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
843497,4002390001F,239,1,F,LIRR,U7,3,68,120,,0,0,0,0,0,,SKILLMAN AVENUE,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
844694,1021700400E,2170,400,E,N S PLUMBING CORP,U1,3,242,131,,0,0,0,0,0,,FAIRVIEW AVENUE,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
845220,1009620100,962,100,,DORMITORY AUTHORITY O,I1,4,1287,779,17.0,477760000,135450000,214992000,135450000,214992000,2252.0,462 1 AVENUE,10016.0,X1,197,201,122778000.0,183988981.0,122778000.0,183988981.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
846614,4163500023,16350,23,,DEPT RE-CITY OF NY,V1,4,366,221,,17800000,8010000,8010000,8010000,8010000,4600.0,195-15 ROCKAWAY POINT BLVD,11697.0,X3,0,0,6678900.0,6678900.0,6678900.0,6678900.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
848179,1012651065,1265,1065,,RCPI LANDMARK PROPERT,R5,4,0,0,70.0,8449445,921753,3802250,0,0,,30 ROCKEFELLER PLAZA,10020.0,,0,0,921753.0,3309777.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
850268,4159450001H,15945,1,H,CITY OF NEW YORK,U9,3,0,0,,0,0,0,0,0,,SEAGIRT BOULEVARD,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
853903,1012651013,1265,1013,,NBC TRUST NO. 1996A,R5,4,0,0,70.0,8968344,978359,4035755,978359,4035755,2500.0,30 ROCKEFELLER PLAZA,10020.0,,0,0,978359.0,3513038.0,978359.0,3513038.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
858855,1012651038,1265,1038,,RCPI LANDMARK PROPERT,R5,4,0,0,70.0,9851037,1074654,4432967,0,0,,30 ROCKEFELLER PLAZA,10020.0,,0,0,1074654.0,3858806.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
861712,3044520002,4452,2,,"STARRETT CITY, INC",Q1,4,7536,4356,,194000000,86850000,87300000,86850000,87300000,2231.0,SHORE PARKWAY,,X1,0,0,82170000.0,82620000.0,82170000.0,82620000.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
861854,1010820001E,1082,1,E,CONSOLIDATED RAIL CO,U6,3,0,0,,0,0,0,0,0,,11 AVENUE,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
864504,1013020001E,1302,1,E,PENN CENTRAL,U6,3,0,0,,0,0,0,0,0,,PARK AVENUE,10017.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
865646,4102610001G,10261,1,G,CITY OF NY BORO PRES,U9,3,260,15,,0,0,0,0,0,,109 AVENUE,,X1,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
872391,4000650004I,65,4,I,CITY OF NEW YORK,U7,3,0,0,,0,0,0,0,0,,BORDEN AVENUE,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
873238,4159000004F,15900,4,F,CITY OF NEW YORK,U1,3,0,0,,0,0,0,0,0,,ROCKAWAY BEACH BLVD,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
873429,4002700001F,270,1,F,NYC D P W,U6,3,0,0,,0,0,0,0,0,,QUEENS BOULEVARD,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
874653,1006800001F,680,1,F,,U9,3,0,0,,0,0,0,0,0,,,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
876350,2055150120,5515,120,,EDGEWATER PK OWNERS C,A8,1D,200,368,1.0,6715000,144021,277903,73255,73255,1010.0,64A EDGEWATER PARK,10465.0,,21,37,,,,,1015.0,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
879222,1021780001E,2178,1,E,,U1,3,0,0,,0,0,0,0,0,,RIVERSIDE DRIVE,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
879667,1022551031E,2255,1031,E,NYC DEPT HWYS,U9,3,0,0,,0,0,0,0,0,,DYCKMAN STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
880424,1007290015F,729,15,F,,U6,3,0,0,,0,0,0,0,0,,WEST 31 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
883176,1013290001,1329,1,,919 GROUND LEASE LLC,O4,4,200,360,46.0,408000000,49950000,183600000,0,0,,919 3 AVENUE,10022.0,,115,333,49950000.0,183990000.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
883753,1012651093,1265,1093,,RCPI LANDMARK PROPERT,R5,4,0,0,70.0,2876812,313834,1294565,0,0,,30 ROCKEFELLER PLAZA,10020.0,,0,0,313834.0,1126889.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
883798,1007000038E,700,38,E,CONRAIL,U6,3,0,0,,0,0,0,0,0,,504 WEST 29 STREET,10001.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
884545,1012651091,1265,1091,,NBC TRUST NO. 1996A,R5,4,0,0,70.0,15017374,1638253,6757818,1638253,6757818,2500.0,30 ROCKEFELLER PLAZA,10020.0,,0,0,1638253.0,5882534.0,1638253.0,5882534.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
886140,1010680001,1068,1,,ST LUKES-ROOSEVELT HO,I1,4,200,502,16.0,318753000,16200000,143438850,16200000,143438850,1401.0,424 10 AVENUE,10001.0,X7,150,250,14934420.0,131273640.0,14934420.0,131273640.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
888449,4151000700,15100,700,,U S GOVERNMENT OWNRD,V9,4,8000,2600,,1662400000,748080000,748080000,748080000,748080000,4600.0,159 STREET,,X1,0,0,328392000.0,328392000.0,328392000.0,328392000.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
888918,1012651012,1265,1012,,NBC TRUST NO. 1996A,R5,4,0,0,70.0,9404937,1025986,4232222,1025986,4232222,2500.0,30 ROCKEFELLER PLAZA,10020.0,,0,0,1025986.0,3684057.0,1025986.0,3684057.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
891670,3002080331F,208,331,F,CNY/NYCTA,U8,3,0,0,,0,0,0,0,0,,COLUMBIA HEIGHTS,11201.0,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
892914,1010140033,1014,33,,42ND ST. DEVELOPOMENT,O4,4,200,164,32.0,316000000,19215000,142200000,19215000,142200000,3410.0,3 TIMES SQUARE,10036.0,,200,164,19215000.0,143550000.0,19215000.0,143550000.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
