,Unnamed: 0,RECORD,BLOCK,LOT,LTFRONT,LTDEPTH,STORIES,FULLVAL,AVLAND,AVTOT,EXLAND,EXTOT,EXCD1,ZIP,BLDFRONT,BLDDEPTH,AVLAND2,AVTOT2,EXLAND2,EXTOT2,EXCD2,manhattan_score,euclidean_score,autoencoder_score,weighted_score
count,95.0,95.0,95.0,95.0,95.0,95.0,68.0,95.0,95.0,95.0,95.0,95.0,69.0,92.0,95.0,95.0,42.0,42.0,35.0,37.0,30.0,95.0,95.0,95.0,95.0
mean,480569.92631578946,480570.92631578946,4009.6526315789474,419.05263157894734,302.86315789473684,305.82105263157894,12.64264705882353,51427875.094736844,4983606.684210527,19275738.557894737,4130621.7684210525,15451838.831578948,2891.985507246377,10506.391304347826,43.98947368421052,50.65263157894737,9903847.19047619,42265982.5952381,10094060.028571429,39683608.2972973,1151.7,1000.0,1000.0,1000.0,1000.0
std,318783.36456524365,318783.36456524365,5159.418538425357,1298.0527262708442,660.5027841603234,440.566462707626,14.842157748112031,107699328.6265509,12084905.274163976,46506602.83121478,11274511.37819364,43157150.68476019,2335.188696826634,537.2251856934249,80.8224340481325,90.59986478091604,15872229.59967167,64215134.07541001,16155915.750964405,65216275.49789085,748.7367361095622,0.0,0.0,0.0,0.0
min,14780.0,14781.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1010.0,10001.0,0.0,0.0,4328.0,4328.0,2090.0,2090.0,1015.0,1000.0,1000.0,1000.0,1000.0
25%,189320.0,189321.0,16.0,5.0,2.5,2.0,1.0,102350.0,10670.5,15024.5,0.0,0.0,1010.0,10281.0,0.0,0.0,904673.25,3181371.75,1649290.5,1350000.0,1015.0,1000.0,1000.0,1000.0,1000.0
50%,505915.0,505916.0,808.0,50.0,194.0,174.0,2.0,9255000.0,213354.0,416559.0,68291.0,109806.0,1985.0,10282.0,16.0,30.0,3368700.0,14994496.5,3600000.0,14469180.0,1015.0,1000.0,1000.0,1000.0,1000.0
75%,764016.0,764017.0,5516.0,192.5,259.5,443.0,25.0,37000000.0,3474000.0,15637500.0,2452500.0,6120000.0,4600.0,10465.0,27.5,44.5,9373545.0,42292650.0,10633500.0,38421000.0,1015.0,1000.0,1000.0,1000.0,1000.0
max,1037511.0,1037512.0,16350.0,7516.0,5380.0,2530.0,52.0,580000000.0,67050000.0,261000000.0,67050000.0,261000000.0,6800.0,11697.0,410.0,652.0,67050000.0,259704000.0,67050000.0,259704000.0,5116.0,1000.0,1000.0,1000.0,1000.0
